HD no.	work status	province / Italic region	modern country	ancient find spot	modern find spot	find spot (village, street, etc.)	Chronological data	Literature	Transcription	Photos
HD002327	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria	Piazza Vittorio Emanuele	1 AD – 300 AD	AE 1985, 0304.  M. Buonocore, Klearchos 24, 1982, 128-129, Nr. 1. - AE.	Diana[e]
HD002330	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium, bei	Reggio di Calabria, bei	Pèllaro	79 AD	AE 1985, 0305.  M. Buonocore, Klearchos 24, 1982, 130-132, Nr. 2; fig. 1. - AE 1985.  CIL 10, 00007. (B)	V Idus April(es) / [Im]p(eratore) Vespasiano Caesar(e) / Aug(usto) VIIII co(n)s(ule) / Tito Ves[pasiano Caes]ar(e) / A[ug(usti) f(ilio) VII co(n)s(ule)] // ob munificentiam earum / quae dendrophoros / honoraverunt honos / decretus est eis q(uae) i(nfra) s(criptae) s(unt) / Claudia Iusta / [---]IVA[---] sac(rata) / S[---]ia Faustina sac(rata) / S[---] Eutychia / Amullia Primigenia / Satria Pietas / Claudia Ptolemais / Terentia Athenais
HD002333	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria		101 AD – 200 AD	AE 1985, 0306.  M. Buonocore, Klearchos 24, 1982, 132-135, Nr. 3; fig. 2. (B) - AE.	[D(is)] M(anibus) / [Quintius?] Ianuar(ius) / [qui vixit a]nn(os) XXV / [---] Quintia / [--- v]ix(it) an(nos) V m(enses) X d(ies) / [--- Qu]int(ia) Vagellia/[na co]n(iugi) et fil(iae) ben(e) mer(entibus)
HD002336	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria		51 AD – 200 AD	AE 1985, 0307.  M. Buonocore, Klearchos 24, 1982, 138-140, Nr. 6,2; fig. 5. (B) - AE.	$] A(uli) f(ilia) Priscilla m(a)ter o[&
HD009435	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1975, 0284.	C(aio) Iulio Neoptol(emi) f(ilio) / Euandro trierarc(ho) / C(aius) Iulius C(ai) f(ilius) Niger / [---] trierarchus
HD009438	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1975, 0286.	L(ucius) Scrib[onius] / Scribon[iae] / Caesari[s &
HD009441	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1975, 0287.	D(is) M(anibus) / Cerin/thus vix(it) / ann(os) XXXVII
HD009444	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1975, 0288.	$] / vix(it) an(nos) XL / Paezusa mater / eius vix(it) an(nos) XXC / Hecebolus / cognatus d(e) s(uo)
HD009447	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1975, 0289.  AE 1995, 0367.	C(aius) Iulius Iuliae divi / Aug(usti) f(iliae) l(ibertus) Celos(!) [si]bi et / C(aio) Iulio Iul[iae divi A]ug(usti) f(iliae) l(iberto) / Thiaso patr[i sexvir(o) A]ug(ustali) / [et Iu]liae divai(!) Au[gustae l(ibertae)] matr[i] / ex testamen[to]
HD009450	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1975, 0290.	D(is) M(anibus) / Salvia Oc/tavia vi/x(it) ann(os) VI / mens(es) II m/ater b(ene) m(erenti)
HD009453	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium, bei	Reggio di Calabria, bei			AE 1975, 0291.	D(is) M(anibus) / Paulina / v(ixit) a(nnos) XXX/VII m(enses) V / d(ies) XXIII
HD009456	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1975, 0292.	D(is) M(anibus) / Balerio(!) Boe/otiano v(ixit) a(nnos) VIII / Staberia April/la v(ixit) a(nnos) XL Va/lerius Boeotia/nus bene merentib(us)
HD016290	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1990, 0213.	M(arco) Fabio Colendo / librario notario / vixit annis XIX / Cinarus paedagog(us) sibi et suis
HD016293	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1990, 0214.	$]rum perti/nens ad se et [ad] suos impen/sa sua reficiend(um) curaver(unt)
HD016299	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1990, 0216.	$ ho]c pretium vit[ae ---] / [---] Restuto potu[---] / [---] praesidium GEN[&
HD021233	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1914, 0141.	T(ito) Sext(io) T(iti) f(ilio) Vetur(ia) / Laterano c(larissimo) p(uero) / patrono ob mul/ta merita paren/tium eius / Reg(ienses) Iul(ii) / d(ono) d(edit)
HD026050	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1923, 0060.	D(omino) n(ostro) Fl(avio) Valerio / [C]onstantio no/bilissimo / [o]rdo splendidissimae / [c]ivitatis Reginae / devotus numini / maiestatiqy(e)(!) aeius(!)
HD026053	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1923, 0061.  AE 1934, p. 69 s. n. 262.	Q(uintus) Sattius / Fl(avius) Vettius / Gratus v(ir) c(larissimus) / augur p(ublicus) p(opuli) R(omani) Q(uiritium) / corrector / sacrario / a solo restituto
HD026056	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1923, 0062.	$ mi]rae bonitati et / benibolentiae(!) / comite [---] / ob merita eius / [ord]o populusque / [Re]ginorum patrono / praestantissimo
HD026059	provisional	Bruttium et Lucania (Regio III)	Italy	Regium Iulium	Reggio di Calabria			AE 1923, 0063.  AE 1914, 0140.	Imp(eratori) Caesari di/vi Traiani Par/thici f(ilio) divi Ner/vae nepoti Tra/iano Hadriano / Aug(usto) pont(ifici) max(imo) trib(unicia) / pot(estate) IIII co(n)s(uli) III p(atri) p(atriae) / d(ecreto) d(ecurionum) / publice
