docId,filename,0 2 00 1,1 murray haldane hood,2 hie end ae,3 1888 nervous toronto,4 shawville pills 1892,5 1885 war indians,6 1 4 good,7 000 2 3,8 tho 0 stair,9 mr tho government,10 1887 du portage,11 ami hut lie,12 1884 sidney pembroke,13 christmas sugar milk,14 ef te 1886,15 fort portage du,16 1889 isabel martha,17 1 mr day,18 dolores inez varian,19 1 ii lie
0,83471_1883-06-07.txt,2.9711170723980194E-5,9.418872281256834E-4,2.0589958703916776E-5,7.547168054209346E-6,3.368131435122271E-5,1.4347708451035302E-5,0.1808494646830904,0.13323284070312597,1.962939408280472E-4,0.10333323368541265,0.0012687822761354476,1.849949235325015E-5,5.687989858656451E-4,0.01271351056410642,7.444442599931908E-6,0.03663930939933559,1.033058188248029E-5,0.19771647694846242,0.11411713310400909,0.21828011664438257
1,83471_1883-06-14.txt,0.2744013100989028,0.0025203492025782166,0.005868479750469259,0.002151068078203128,0.009599733252584917,0.004089334889949066,0.14022240286286386,0.15787789360759497,0.002760402282024126,0.11926092004101206,0.015910919912044092,0.005272662166551969,0.0025572653014392923,0.006870768802060705,0.002121789619855845,0.04482537972791593,0.0029443871869625302,0.16080426151030258,0.0016535202662451543,0.03828715144043947
2,83471_1883-06-21.txt,3.1635713393686956E-5,9.41560976367591E-6,2.2062015714696592E-4,8.036036267808566E-6,3.586302328632088E-5,1.14625323416298E-4,0.18759658634293935,0.12209270503649146,1.0312408555017695E-5,0.08528893730886418,3.5748530195879553E-4,1.1904603934241202E-4,9.553522232518563E-6,0.013040287682655121,7.92665676674655E-6,0.056994654312162385,0.0012031786424885303,0.22363754016017254,0.1262777920791485,0.18294379864294763
3,83471_1883-06-28.txt,8.470067657254036E-4,8.61454373827552E-6,3.836418060439398E-4,7.352342296350515E-6,1.2370769208249106E-4,9.229357435936522E-4,0.17399944064819917,0.14479132615130638,9.435044226969347E-6,0.12484404008516314,5.438346216400901E-5,2.9070946257748017E-4,8.74072282011066E-6,2.3484260950975896E-5,7.252268639984193E-6,0.04769173796759894,0.0014643973645527407,0.21097350092443923,0.11507978679885618,0.17846850594502459
4,83471_1883-07-05.txt,0.3110445276384699,0.002393069887729486,0.005572117611016801,0.0020424377063060126,0.009114940323942456,0.0038828207519687867,0.15839141135370857,0.14990495473564044,0.002621000126638875,0.11323816407706815,0.015107407849927314,0.005006389212272043,0.0024281216989890187,0.006523790397355621,0.002014637829622912,0.017311334859438417,0.002795693671229628,0.15268353910848206,0.0015700163905278993,0.03635362476966557
5,83471_1883-07-12.txt,0.038950803044955296,1.0245147210518966E-5,2.385520184425368E-5,8.744030033018903E-6,3.902264029676432E-5,1.6623029022240963E-5,0.1823959761930232,0.17727889456970294,1.1220956092377838E-5,0.09247879085250282,1.7277848900040723E-4,1.295342764307691E-4,1.039521009342539E-5,0.0035952643252196966,8.625013939710043E-6,0.059962097836202675,1.1968849453218096E-5,0.19642467707862735,0.09373033704164727,0.15474014621470203
6,83471_1883-07-19.txt,0.042587098282942354,8.05105222128498E-6,1.8746385176406988E-5,6.871413457879771E-6,3.066557350382423E-5,1.3063050435877388E-5,0.15565193425760912,0.1382935434539978,8.817882419466341E-6,0.08210305636684326,5.605273163729989E-4,1.6843093966771892E-5,8.168977721224673E-6,2.1948116701121962E-5,6.777885784463897E-6,0.033443667250306085,9.405607356975779E-6,0.17143346730212386,0.10058631216395958,0.27519103456709965
7,83471_1883-07-26.txt,0.022218084130522717,7.760962308403109E-6,1.8070928466748984E-5,6.6238274682992035E-6,2.956065289199677E-5,9.448169974655987E-5,0.19811262761172985,0.1858017059851583,8.50016261433293E-6,0.12361068128998184,2.9466280187329704E-4,9.81255433785557E-5,7.874638798764448E-6,1.0304662548507674E-4,6.533669718948849E-6,0.03002763643967197,9.095603911235835E-5,0.20243425080455926,0.12783433281479012,0.10919448337172262
8,83471_1883-08-02.txt,3.882091191031586E-5,1.1554111414175159E-5,2.6903045339665937E-5,9.861205030481594E-6,0.0013850459865433682,0.0062362850329744654,0.1236525515456557,0.17262040793413952,0.008668443032238664,0.1211182069354725,6.825034669628507E-4,2.4171621162388117E-5,1.1723346978350651E-5,3.149786869170346E-5,9.72698292767388E-6,0.04385017404605251,1.3498041291196469E-5,0.16263699728531797,0.10375512902934406,0.25521649857055245
9,83471_1883-08-09.txt,0.030052572999628265,7.904664611938877E-6,1.0181112482468854E-4,6.746474535453166E-6,2.803247820465772E-4,9.623112686088239E-5,0.16574967259914805,0.10650366862984564,6.75902306291309E-4,0.08069362974352745,6.337411678234001E-4,1.653684576566483E-5,8.02044594096244E-6,2.1549046834821465E-5,6.654647421435338E-6,0.015987650414588463,9.234590657842252E-6,0.17715738506848117,0.12870001798435307,0.29329074533681293
10,83471_1883-08-16.txt,6.34788454763023E-4,8.132505825392772E-4,2.217036408658926E-5,8.126459406286575E-6,3.626656142537204E-5,3.1684736780840806E-4,0.18156970545446674,0.15692173807331408,1.0428445904245147E-5,0.08373697282502392,2.6104167205156115E-4,1.9919441645631362E-5,9.66102043623428E-6,1.2642301191675086E-4,8.015849144506019E-6,0.044977237758774755,1.1123517285993506E-5,0.19953043191480108,0.14558166669271508,0.18540418453249044
